name,number,description,image_url,sub_category_id
워시드 린넨 이불커버,3501,가장자리에 더블 스티치 디테일이 매치된 160GSM 워싱 마감 린넨 단색 이불커버. JOIN LIFE Care for fiber: 100% 유럽 재배 린넨.,https://images.unsplash.com/photo-1617325247661-675ab4b64ae2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1171&q=80,1
퍼케일 코튼 이불커버,3502,500TC 퍼케일 면 소재 단색 이불커버. 이 새로운 면 소재는 더욱 내구성이 강하며 부드러운 벨벳 마감의 더욱 고급 소재입니다. 같은 컬러의 패브릭 소재에 면 품질 인증이 자수 처리됨. 하단 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1642026391740-fa9c57090831?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2370&q=80,1
새틴 이불커버,3503,300TC 새틴 면 소재 단색 이불 커버. 다른 모델과 매치하기에 이상적인 디자인. 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1612650760263-2d9ec04e0717?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1173&q=80,1
라이트 그레이 침구 세트,3504,무광 마감 300TC 퍼케일 면 소재 단색 이불 커버. 세탁을 반복할수록 놀랍게 부드러워지는 새로운 고급 소재. 내구성이 강하고 오래 사용 가능하며 안티필링 처리됨.,https://images.unsplash.com/photo-1606855637183-ea2a00b6f15f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1400&q=80,1
물결 무늬 차렵이불,3505,부드럽고 시원한 원단의 물결 무늬 이불 커버,https://images.unsplash.com/photo-1507427235685-0bc9cf31856a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2359&q=80,1
더블 패브릭 코튼 커튼,3506,봉집이 있는 단색 면 소재 커튼. JOIN LIFE Care for water: 더 적은 양의 물을 사용하여 제조됨.,https://images.unsplash.com/photo-1535542767117-80f7ebd0f082?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,4
워시드 린넨 커튼,3507,로드 포켓 디테일이 매치된 워싱 마감 단색 린넨 커튼. 비침 정도: 높음,https://images.unsplash.com/photo-1577926898619-41472eb8471e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,4
하이 GSM 린넨 커튼,3508,워싱 처리된 린넨 소재를 촘촘히 짠 무늬 커튼. 높은 GSM 수치. 링을 걸 수 있는 고리가 달림.,https://images.unsplash.com/photo-1599280611965-bef72efc48fb?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1771&q=80,4
직사각 거울,3509,블랙 프레임 직사각형 거울. 벽에 적절한 나사와 거울 뒤에 있는 경첩을 사용하여 거울을 고정하는 것이 좋습니다. 나사는 포함되지 않음.,https://images.unsplash.com/photo-1619213348491-b7b7602727f9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1335&q=80,7
라지 라운드 거울,3510,골드 톤 금속 프레임 큰 사이즈 거울. 벽에 적절한 나사와 거울 뒤에 있는 경첩을 사용하여 거울을 고정하는 것이 좋습니다. 나사는 포함되지 않음.,https://images.unsplash.com/photo-1618220252344-8ec99ec624b1?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1760&q=80,7
메탈릭 프레임 빅 사이즈 라운드 거울,3511,금속 프레임이 매치된 단색 디자인의 큰 원형 벽거울.금속 프레임이 매치된 단색 디자인의 큰 원형 벽거울.,https://images.unsplash.com/photo-1542485028-6e019f9c8a8e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1315&q=80,7
그린 스트라이프 이불 커버,3512,그린 톤 스트라이프 프린트 면과 린넨 소재 이불 커버. ,https://images.unsplash.com/photo-1617233210035-36c869b56d3b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1935&q=80,1
린넨 자수 보더 이불커버,3513,40s 퍼케일 면 소재 이불 커버. 린넨 보더 자수 디테일. 하단 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1614629559381-d1feb4194dd6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1335&q=80,1
부드러운 린넨 커튼,3514,워싱 처리된 린넨 소재를 촘촘히 짠 무늬 커튼. 높은 GSM 수치. 링을 걸 수 있는 고리가 달림. ,https://images.unsplash.com/photo-1593909840438-48825492a8b7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,4
헤비 린넨 커튼,3515,"JOIN LIFE Care for fiber: 100% 유럽 재배 린넨. 이 린넨은 자연적인 방식으로 관개하며 유전자가 조작된 종자나 고엽제를 사용하지 않고, European Confederation of Flax and Hemp(CELC)의 European Flax® 기준을 따라 유럽에서 생산됩니다.",https://images.unsplash.com/photo-1578500467296-441a11d5d55a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1770&q=80,4
플로랄 자수 커튼,3516,플로랄 프린트 자수와 아일렛이 매치된 린넨 커튼. 개별 판매.,https://images.unsplash.com/photo-1587312000363-6689cee2ddd9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,4
더블 패브릭 코튼 커튼,3517,JOIN LIFE Care for water: 더 적은 양의 물을 사용하여 제조됨. 물을 재사용할 수 있게 해주는 폐쇄 순환 시스템 또는 저비율 세척 기기 또는 대량 염색과 같은 기술은 의류 염색과 세탁 과정에서 물 소모를 감소할 수 있게 도와줍니다.,https://images.unsplash.com/photo-1587772218185-6e7636e1ef37?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,4
플라워 & 버터플라이 프린트 이불 커버,3518,멀티컬러 꽃과 나비 프린트 디테일 200TC 퍼케일 면 소재 이불 커버. JOIN LIFE Care for water: 더 적은 양의 물을 사용하여 제조됨.,https://images.unsplash.com/photo-1429117237875-aa29229d99f0?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,1
블루 스트라이프 이불 커버,3518,블루톤 스트라이프 프린트 면과 린넨 소재 이불 커버. 하단 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1596586371480-bf9119b62c74?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,1
팜트리 프린트 이불 커버,3519,화이트 컬러 바탕에 야자수 프린트가 매치된 200TC 퍼케일 소재 이불 커버. JOIN LIFE Care for water: 더 적은 양의 물을 사용하여 제조됨.,https://images.unsplash.com/photo-1652161853855-005106816b9f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1744&q=80,1
멀티컬러 폼폼 이불 커버,3520,가장자리에 폼폼이 매치된 40s 퍼케일 면 소재 이불 커버.,https://images.unsplash.com/photo-1639814056459-67a076c91b07?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,1
골든 우드 거울,3521,골드 톤 목재 프레임 마감 로맨틱한 스타일 거울. 벽에 적절한 나사와 거울 뒤에 있는 경첩을 사용하여 거울을 고정하는 것이 좋습니다.,https://images.unsplash.com/photo-1608501200359-354b01a203fa?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=986&q=80,7
골든 사각 프레임 우드 거울,3522,골드 톤 목재 프레임의 사각 거울.,https://images.unsplash.com/photo-1571907483083-af70aeda3285?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1740&q=80,7
데코 우드 거울,3523,상단 모서리가 둥글게 마감된 장식과 엠보싱 디테일 목재 프레임 타원형 거울.,https://images.unsplash.com/photo-1556020685-ae41abfc9365?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,7
메탈릭 프레임 빅 사이즈 라운드 거울,3524,금속 프레임이 매치된 단색 디자인의 큰 원형 벽거울.,https://images.unsplash.com/photo-1633945089460-5f0a309e10c6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,7
빈티지 우드 프레임 거울,3525,빈티지 스타일의 우드 프레임 사각 거울.,https://images.unsplash.com/photo-1617678470600-84336c17f219?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1335&q=80,7